Study Program,Courses,Description
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electrical Engineering Lab Part 1,experiments transients linear networks c networks wheatstone twoports voltage techniques voltage measurements connected resonant circuit
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Fundamentals of Electronic Circuits,circuit design analysis electronic circuits signal linearization signal analysis amplifiers circuits amplifiers amplifier differetial amplifiers impedance converters mirrors stability loop loop nyquist criterion amplitude margin operational amplifiers operational amplifier operational amplifier practical data frequency pole linear signal operational amplifiers inverting noninverting amplifier adder integrator diffentiator voltage nonlinear circuits operational amplifiers comparators schmitt rectifier limiter log circuit multiplier oscillator flip flops multivibrators sinus wave generators functional generators iii digital circuit techniques combinatorial logic logic inverter ttl ecl cmos logic flip flops memories flip flop flip flop memories design hierarchical design distribution
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Bachelor Project EIT,technical team supervision project applicable specification interface implementation german english
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electrical Engineering Lab Part 2,experiments transients linear networks c networks wheatstone twoports voltage techniques voltage measurements connected resonant circuit
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Bachelor Thesis,scientific
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Bachelor Thesis Colloquium ,
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Bookkeeping,coherences entering transactions drawing
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Electric and Magnetic Fields,electrical engineering electric magnetic spatial distributions electrostatics electric magnetostatics faraday
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Fundamentals of Computer Engineering,computer engineering design analysis hardware boolean algebra minimization logic binary codes arithmetic calculations computers equations flip flops design digital circuits combinational sequential automata microprogramming complex microcomputer
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Fundamentals of Computer Engineering Lab,lab computer design digital circuits simulation tool simulate analyze digital circuits design evaluate combinatorial sequential digital circuits
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Introduction to Business Administration for Industrial Engineering ,production marketing financing human strategic
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Mathematics 1 (for Engineers),differential calculus integral calculus complex infinite differential calculus integral calculus definite integrals integrals
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Procurement and Production,
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Electrical Networks,electrical engineering electronic devices resistors capacitors inductors transfomers electrical kirchhoff voltage laws methodologies analyzing dc networks sinusoidal circuit analysis complex ac analysis tool analyzing ac circuits matrix network analysis
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Introduction to Economics/Micro Economics I,economics methodological economical societal scientific administration neoclassical firm market governmental interventions practical microeconomical analysis contribute economic methodological graphical verbal economics
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Mathematics 2 (for Engineers),tools dimensional vector calculus linear equations matrices determinants derivatives techniques computation curvilinear integrals integrals probability vector calculus linear equations matrices determinants eigenvalues eigenvectors curves differential calculus taylor formula extrema integrals integrals parameters integrals probability
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Physics for Engineers Lab,experiment physics mechanics thermodynamics optics experiment experiment experiment measurement analysis error analysis
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Principles of Cost Accounting,internal integral planning annual financial administration planning similarities operational capabilities planning controlling
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Business Law,
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Economics II for Industrial Engineers,economics microeconomics macroeconomics economics policy economics
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Electrical Engineering Lab Part 1,experiments transients linear networks c networks wheatstone twoports voltage techniques voltage measurements connected resonant circuit
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Fundamentals of Electrical Engineering E3 ,fourier fourier electrical networks behaviour electrical circuits laplace graphical solution complex network analysis locus network operational amplifiers signal
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Fundamentals of Electrical Power Engineering,mathematical technical electrical engineering voltage technologies production net net voltage technologies technologies iii circuits iv distribution network vi devices electrical networks vii network security
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Introduction to Materials,macroscopic microscopic atoms chemical spatial atoms defects atomistic macroscopic behaviour atomistic electrical conductivity metals semiconductors polymers dielectric magnetic
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Investment and Financing,evaluate finance decions financial evaluate median financial equity liabililty
B.Sc. Industrial Engineering (Electrical Power Technology and Management)  PO19 - B-WI(EET)-19,Mathematics E3,fourier integral fourier laplace differential equations differential equations linear differential equations solutions linear differential equations holomorphic analytic complex integrals cauchy laurent isolated singularities residue calculation integrals residue inverse laplace
